City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Nantucket,US,41.2835,-70.0995,58.01,98,100,9.22,fog
166,Champerico,GT,14.3,-91.9167,88.34,70,100,8.1,overcast clouds
167,Narsaq,GL,60.9167,-46.05,39.42,71,22,2.86,few clouds
168,Mahebourg,MU,-20.4081,57.7,73.69,88,40,11.5,scattered clouds
169,Kyshtovka,RU,56.555,76.6271,58.33,56,93,9.06,overcast clouds
170,Westport,US,41.1415,-73.3579,70.63,88,0,12.66,fog
171,Buala,SB,-8.145,159.5921,85.05,67,6,1.07,clear sky
172,Chokurdakh,RU,70.6333,147.9167,20.1,82,100,11.95,overcast clouds
173,Avarua,CK,-21.2078,-159.775,80.65,65,75,4.61,broken clouds
174,Jasper,US,37.2001,-94.3502,72.01,82,40,4.61,scattered clouds
175,Bredasdorp,ZA,-34.5322,20.0403,53.78,81,0,3.71,clear sky
176,Sidi Ali,DZ,36.0998,0.4206,64.18,79,18,5.95,few clouds
177,Oranjestad,AW,12.524,-70.027,82.35,74,20,23.02,few clouds
178,Xai-Xai,MZ,-25.0519,33.6442,67.44,88,24,6.04,light rain
179,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,21.85,broken clouds
180,Irbit,RU,57.6705,63.071,49.06,80,22,2.51,few clouds
181,Vestmannaeyjar,IS,63.4427,-20.2734,48.61,93,100,19.64,overcast clouds
182,Saldanha,ZA,-33.0117,17.9442,57.25,46,0,8.68,clear sky
183,Itarema,BR,-2.9248,-39.9167,76.69,91,82,9.62,broken clouds
184,Port Augusta,AU,-32.5,137.7667,64.56,56,5,8.88,clear sky
185,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,87,61,30.51,broken clouds
186,Lamu,KE,-2.2717,40.902,78.58,82,46,16.06,light rain
187,Cumpas,MX,29.9833,-109.7833,93.97,6,100,13.98,overcast clouds
188,Camacha,PT,33.0833,-16.3333,62.02,94,0,4.61,clear sky
189,Nicoya,CR,10.1483,-85.452,80.91,80,100,3.29,overcast clouds
